id,title,creator,year,desc,category
1,Wolf and Sheep,H.O.T.,1997,"Top songs: 'We are the Future', 'Full of Happiness'",album
2,Let's Talk About Love,Celine Dion,1997,"Top songs: 'My Heart Will Go On', 'Tell Him'",album
3,Hybrid Theory,Linkin Park,2000,"Top songs: 'Crawling', 'One Step Closer'",album
4,The Fame Monster,Lady Gaga,2008,"Top songs: 'Bad Romance', 'Telephone'",album
5,Remapping the Human Soul,Epik High,2007,"Top songs: 'Fan', 'Love Love Love'",album
6,The College Dropout,Kanye West,2004,"Top songs: 'Through the Wire', 'Jesus Walks'",album
7,Hello World,BACK-ON,2011,"Top songs: 'Flyaway', 'With You feat. Me'",album
8,Always,Big Bang,2007,"Top songs: 'Lies', 'Always'",album
9,Pure Heroine,Lorde,2013,"Top songs: 'Royals', 'Tennis Court'",album
10,Instant Pig,Clazziquai,2004,"Top songs: 'Sweety', 'Come to Me'",album
11,Lemonade,Beyonce,2016,"Top songs: 'Formation', 'Hold Up'",album
12,Shakespeare's Memory,Jorge Luis Borges,1983,Argentine collection of short stories including 'The Garden of Forking Paths',book
13,No Exit,Jean Paul Sartre,1944,French Existentialist play with the famous line 'L'enfer c'est les autres',book
14,Les Miserables,Victor Hugo,1862,French historical novel that takes place before and during the French Revolution,book
15,Frankenstein,Mary Shelley,1818,Gothic English novel that explores the man-made creation of a monster,book
16,The Old Man and the Sea,Ernest Hemingway,1951,American novel depicting the vicious struggle between a man and a marlin,book
17,Catch-22,Joseph Heller,1961,"Satirical American novel set during World War II, following the life of an Army captain",book
18,Jurassic Park,Michael Crichton,1990,American science fiction novel that shows the dangers of genetic engineering,book
19,Siddhartha,Hermann Hesse,1922,German novel that details the spiritual journey of a man named Siddartha,book
20,The Great Gatsby,F. Scott Fitzgerald,1925,American novel set during the Jazz Age that explores decadence and social upheaval,book
21,Candide,Voltaire,1759,French satirical novella that explores various philosophies such as Leibnizian optimism,book
22,The Stranger,Albert Camus,1942,French Existentialist novel that details the feelings of a murderer and the Absurdity of life,book
23,Deer Hunter,Michael Cimino,1978,American epic war drama film that shows how three lives are changed after fighting in Vietnam,movie
24,Hook,Steven Spielberg,1991,American fantasy adventure film that details the life of Peter Pan after he grows up,movie
25,Good Will Hunting,Gus Van Sant,1997,American drama film that follows a blue-collar unrecognized genius and his relationships,movie
26,The Butterfly Effect,Eric Bress,2004,American psychological thriller supernatural fiction film about a man and his decisions' effects,movie
27,Meet Joe Black,Martin Brest,1998,American romantic fantasy film that follows an aging man and his relationship with death,movie
28,Sympathy for Lady Vengeance,Park Chan-wook,2005,South Korean psychological thriller film that explores the theme of vengeance and crime,movie
29,The Handmaiden,Park Chan-wook,2016,South Korean erotic psychological thriller set in Korea during times of Japanese colonial rule,movie
30,New World,Park Hoon-jung,2013,South Korean crime drama film that shows the conflict between the police and the mob,movie
31,Milk,Gus Van Sant,2008,American biographical film based on the life of gay rights activist and politician Harvey Milk,movie
32,Inception,Christopher Nolan,2010,American science fiction film that explores the creation of ideas and consciousness,movie
33,Godfather,Francis Ford Coppola,1972,American crim film that follows the the rise of Michael Corleone from outsider to mafia boss,movie
